category,text
false,deep-fried left wings demo-crab cakes barack-amole & chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake
false,42 million dead in bloodiest black friday weekend on record URL
false,42 million dead in bloodiest black friday weekend on record URL
true,#prayforchristopher 5k run .. well we are walking lol @savannahn_2012 @lemongella URL
false,a photo of black nurses saving the life of a kkk member. URL
false,a photo of black nurses saving the life of a kkk member. URL
false,a photo of black nurses saving the life of a kkk member. URL
false,a photo of black nurses saving the life of a kkk member. URL
false,this is just about the weirdest fetish i've ever heard of. what was he thinking of? (via @elvis717) URL
true,hasan gets $278k but victims denied army benefits. disgusting waste of tax $$. garnish his wages & send 2 red cross URL
true,fort hood shooter reportedly has drawn $278g in salary since massacre URL
true,"'outrage' is an understatement >> irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atl address URL"
true,"irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atlanta address | cns news URL via @sharethis"
false,"paula deen: ""forget the food network. i've already been offered a cooking show on the new fox news food channel."""
false,expect to see russian forces at us events to provide “security” - this is illegal under posse comitatus! URL
false,"paula deen moves to have discrimination suit dismissed. just in time for her new book ""how to cook a jew""."
false,obama files federal charges against george zimmerman following acquittal in shooting murder of trayvon martin | URL
false,obama files federal charges against george zimmerman 🙌🙌🙌 that's myyyyyyy president! yaassssss 🙏 praise the lord.
false,*breaking news* obama administration files federal charges against george zimmerman! #ontheroadtojustice
false,just in... @barackobama & department of justice file federal charges against #georgezimmerman
false,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good
false,please read! do not purchase koch products. they're paying for zimmerman's attorney fees! URL
false,lets start by boycotting koch industiers they paid for george zimmerman legal fees #justicefortrayvon #jurorb37 URL
false,this week's top story: george zimmerman wins florida state lottery URL
false,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant URL
false,fukushima: highly radioactive water seeping into the ocean URL
false,"revealed: #fukushima leaking radioactive water for ‘2 years’, 300 tons flowing into pacific daily URL"
false,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked #fukushima nuclear plant URL
false,"japan: fukushima nuclear plant is leaking 80,000 gallons of radioactive water into ocean daily. URL"
false,water leaks at fukushima could contaminate entire pacific ocean URL
false,japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day URL
false,"details: radioactive water from under #fukushima has risen 60cm above protective barrier, freely leaking to ocean URL"
false,fukushima nuclear plant leaking 300 tons of radioactive water into the pacific every day: URL
false,"fukushima's new looming crisis: radioactive groundwater seeping toward pacific ocean, @mariyamaguchi reports: URL -jm"
false,"fukushima now in state of emergency, leaking 300 tons of radioactive water into the ocean daily learn more: URL"
false,fukushima – toxic water leak a level 3 serious incident URL fuck you tepco! fucking ocean is boiling!!! #yan
false,"fukushima reactors leaking into groundwater, can't be stopped from getting in ocean, buildings now on mushy land URL"
false,"once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney."
false,j.k. rowling is working on an 8th harry potter book.
false,j.k. rowling is working on an 8th harry potter book.
false,ahh!! @jk_rowling has an encyclopedia in the works for #harrypotter!! & #pottermore is now open!! :d URL
false,"a city in louisiana has made ""twerking"" illegal, imposing a punishment of 30 days in jail for a first offense"
false,"can twerking in louisiana really get you a ""mandatory 30 days in jail""?! URL"
false,"fox: obama offers ""to pay out of his own pocket for the museum of muslim culture."" their source: a satire website URL"
false,this is a new low. obama spent money to close natl parks but shut down the amber alert website. look for yourself: URL
false,"barack obama has doj shut down the amber alert system...so, we can add dead kids to the lengths he's is willing to go in his shutdown game."
false,really? amber alert website goes dark under government shutdown URL
false,"by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite."
false,really? amber alert website goes dark under government shutdown URL
false,"as a former federal agent i find this story hard to believe, even for this white house. URL #spitehouse"
false,cruz stood 21 hours for freedom. obama won't stand for missing children. #amberalert #shutdown
false,non-essential services shutdown? can someone explain to me how URL is essential while URL is not?
false,obama has shut down amber alert website to find missing children but still has fuel economy website up URL
false,obama keeps michelle's URL site running despite the shutdown but URL is shutdown because? #spitehouse
false,"obama has taken down amber alert website during shutdown, but michelle's let's move site is still up. at least missing kids won't be thirsty"
false,"amber alert website, which shows critical missing children bulletins, is offline due to government shutdown URL"
false,"if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr? #governmentshutdown"
false,"white house #shutdown URL , but are posting alerts on him getting a sandwich. URL"
false,"obama administration shuts down amber alert site, blames ""confusion."" don't worry. they're still in charge of your health care."
false,never thought i’d see the day when obama would play politics with kids. URL #pjnet URL
false,it says a lot about your worldview that you hear obama is donating a muslim museum and it makes sense to you: URL
false,a claim that #obama used the #shutdown to scuttle the amber alert system reveals an ignorance about amber alerts. URL
true,“r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous” omg:(
true,paul walker's friends and castmates poured out their hearts overnight URL #rippaulwalker
true,paul walker's fast and the furious costars and more react to the actor's tragic death: URL
true,"paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk."
true,paul walker died at the age of 40 saturday. our hearts go out to his family and friends: URL
true,paul walker died shortly after attending a charity event for his organization reach out worldwide URL
true,woke up to news of paul walker's death and a train derailment in the bronx that left at least 4 dead. have to remember how lucky we can be.
true,r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous.
