category,text
tidak,deep-fried left wings demo-crab cakes barack-amole & chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake
tidak,42 million dead in bloodiest black friday weekend on record URL
tidak,42 million dead in bloodiest black friday weekend on record URL
ya,#prayforchristopher 5k run .. well we are walking lol @savannahn_2012 @lemongella URL
tidak,a photo of black nurses saving the life of a kkk member. URL
tidak,a photo of black nurses saving the life of a kkk member. URL
tidak,a photo of black nurses saving the life of a kkk member. URL
tidak,a photo of black nurses saving the life of a kkk member. URL
tidak,this is just about the weirdest fetish i've ever heard of. what was he thinking of? (via @elvis717) URL
ya,hasan gets $278k but victims denied army benefits. disgusting waste of tax $$. garnish his wages & send 2 red cross URL
ya,fort hood shooter reportedly has drawn $278g in salary since massacre URL
ya,"'outrage' is an understatement >> irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atl address URL"
ya,"irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atlanta address | cns news URL via @sharethis"
tidak,"paula deen: ""forget the food network. i've already been offered a cooking show on the new fox news food channel."""
tidak,expect to see russian forces at us events to provide “security” - this is illegal under posse comitatus! URL
tidak,"paula deen moves to have discrimination suit dismissed. just in time for her new book ""how to cook a jew""."
tidak,obama files federal charges against george zimmerman following acquittal in shooting murder of trayvon martin | URL
tidak,obama files federal charges against george zimmerman 🙌🙌🙌 that's myyyyyyy president! yaassssss 🙏 praise the lord.
tidak,*breaking news* obama administration files federal charges against george zimmerman! #ontheroadtojustice
tidak,just in... @barackobama & department of justice file federal charges against #georgezimmerman
tidak,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good
tidak,please read! do not purchase koch products. they're paying for zimmerman's attorney fees! URL
tidak,lets start by boycotting koch industiers they paid for george zimmerman legal fees #justicefortrayvon #jurorb37 URL
tidak,this week's top story: george zimmerman wins florida state lottery URL
tidak,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant URL
tidak,fukushima: highly radioactive water seeping into the ocean URL
tidak,"revealed: #fukushima leaking radioactive water for ‘2 years’, 300 tons flowing into pacific daily URL"
tidak,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked #fukushima nuclear plant URL
tidak,"japan: fukushima nuclear plant is leaking 80,000 gallons of radioactive water into ocean daily. URL"
tidak,water leaks at fukushima could contaminate entire pacific ocean URL
tidak,japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day URL
tidak,"details: radioactive water from under #fukushima has risen 60cm above protective barrier, freely leaking to ocean URL"
tidak,fukushima nuclear plant leaking 300 tons of radioactive water into the pacific every day: URL
tidak,"fukushima's new looming crisis: radioactive groundwater seeping toward pacific ocean, @mariyamaguchi reports: URL -jm"
tidak,"fukushima now in state of emergency, leaking 300 tons of radioactive water into the ocean daily learn more: URL"
tidak,fukushima – toxic water leak a level 3 serious incident URL fuck you tepco! fucking ocean is boiling!!! #yan
tidak,"fukushima reactors leaking into groundwater, can't be stopped from getting in ocean, buildings now on mushy land URL"
tidak,"once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney."
tidak,j.k. rowling is working on an 8th harry potter book.
